#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:11.555 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	218	157	301	301	-2.250084	0	-1.241314	0	-3.343244	0	-2.44275	0	-0.8711976	0	-3.425987	0	-1.899845	0	-0.1104041	0	0.1488557	0	1.924217	0	-2.250084	0	-0.8711976	0	-0.9994792	-1.007383	-1.233711	-0.4941112	-1.382405	-0.4230047	-4.027603	-2.325562	-1.584684	-0.5897916	-1.611423	-0.9220536	-1.046624	-0.9458442	-0.5641572	-0.5729836	-2.685581	-1.99979	-1.887376	-2.833788	-3.128578	-0.1750343	4.468275	281.8218	249.3287	0	0	336.876	247.6425	406.0955	237.7175	0	0	465.0653	234.3464	378.7891	315.3322	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	218	157	300	300	-2.168546	0	-1.362004	0	-3.178459	0	-2.291847	0	-0.8336901	0	-3.504135	0	-1.887697	0	-0.2042761	0	-0.007458168	0	1.965808	0	-2.168546	0	-0.8336901	0	-1.032253	-1.017815	-1.244879	-0.4439228	-1.398698	-0.4526885	-4.107422	-2.408855	-1.552966	-0.5944124	-1.616554	-0.9548739	-1.07034	-0.887453	-0.6042936	-0.6366076	-2.598264	-1.92868	-1.711618	-2.820324	-3.085528	-0.4620957	4.445051	281.9129	249.2679	0	0	337.8534	247.5663	406.1176	237.872	0	0	464.8729	234.388	378.6356	314.9858	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	218	157	301	301	-2.172201	0	-1.251526	0	-3.280022	0	-2.389678	0	-0.8511297	0	-3.415823	0	-1.91521	0	-0.1121759	0	0.1444448	0	1.908627	0	-2.172201	0	-0.8511297	0	-1.020288	-1.023897	-1.232573	-0.4858089	-1.405116	-0.443516	-4.046795	-2.322989	-1.559319	-0.580624	-1.617922	-0.9269502	-1.061482	-0.9080542	-0.5774819	-0.584441	-2.62763	-1.955291	-1.797935	-2.800789	-3.343667	-0.438507	4.428913	281.9883	249.8037	0	0	337.369	247.6745	406.4791	238.2448	0	0	465.4149	234.4126	378.3499	315.2103	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	218	157	300	300	-2.144852	0	-1.335221	0	-3.193759	0	-2.293999	0	-0.8451332	0	-3.444403	0	-1.898016	0	-0.1947926	0	0.02193573	0	1.964772	0	-2.144852	0	-0.8451332	0	-1.024827	-1.01556	-1.255863	-0.4435469	-1.413652	-0.475466	-4.091357	-2.337411	-1.575781	-0.6070551	-1.632266	-0.954456	-1.066832	-0.8918054	-0.6112036	-0.6323336	-2.600793	-1.940449	-1.78823	-2.822301	-3.249608	-0.3597112	4.418162	281.8133	249.375	0	0	337.8801	247.6905	406.7297	238.4444	0	0	464.9586	234.388	378.6142	315.3253	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	219	158	299	299	-2.040317	0	-1.186382	0	-3.098454	0	-2.30987	0	-0.6940197	0	-3.422608	0	-1.851052	0	-0.07197452	0	0.1508125	0	1.857584	0	-2.040317	0	-0.6940197	0	-0.9600233	-0.9648139	-1.225293	-0.4611655	-1.354604	-0.4434652	-4.029793	-2.37151	-1.439997	-0.5030669	-1.713063	-0.9169266	-0.9484393	-0.9561883	-0.5454078	-0.6323018	-2.518496	-1.853394	-1.680787	-2.764116	-3.405185	-0.4883641	4.294066	281.7046	250.7558	0	0	338.4349	248.8011	406.7925	236.2913	0	0	463.4532	234.3302	378.3154	315.2747	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	218	156	301	301	-2.287709	0	-1.351864	0	-3.221198	0	-2.322992	0	-0.8781619	0	-3.51363	0	-1.894791	0	-0.2250471	0	-0.01517538	0	1.983984	0	-2.287709	0	-0.8781619	0	-1.014372	-0.9953421	-1.23943	-0.4502419	-1.467312	-0.4988198	-4.132594	-2.380319	-1.608603	-0.6134033	-1.606768	-0.9297443	-1.03143	-0.8922173	-0.5938053	-0.5855859	-2.694701	-2.003631	-1.808805	-2.824302	-3.10985	-0.3057669	4.356527	281.773	249.3196	0	0	337.6692	246.633	406.8295	238.3976	0	0	465.4698	234.4483	378.5222	315.1798	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	218	157	301	301	-2.255916	0	-1.345167	0	-3.205252	0	-2.280203	0	-0.8458649	0	-3.578666	0	-1.839406	0	-0.1864421	0	0.01350165	0	1.954745	0	-2.255916	0	-0.8458649	0	-0.9925506	-0.9917311	-1.222935	-0.4518472	-1.458381	-0.4960195	-4.140521	-2.390853	-1.580966	-0.5809466	-1.579566	-0.9138394	-1.06467	-0.8863965	-0.5880982	-0.5873021	-2.66802	-1.974778	-1.755865	-2.775145	-3.300741	-0.3124965	4.359226	281.9283	249.382	0	0	337.5927	246.6342	406.6709	238.3829	0	0	465.2747	234.4125	378.8154	314.9666	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	218	157	300	300	-2.152288	0	-1.329207	0	-3.19387	0	-2.272416	0	-0.8205281	0	-3.50091	0	-1.827677	0	-0.1685811	0	0.04065116	0	1.931393	0	-2.152288	0	-0.8205281	0	-0.9898083	-0.989805	-1.22267	-0.4570203	-1.409008	-0.4829886	-4.089331	-2.346567	-1.527067	-0.5701365	-1.579487	-0.8982546	-1.038178	-0.8722684	-0.5611104	-0.5908811	-2.617999	-1.932975	-1.723408	-2.77581	-3.074387	-0.2751464	4.35104	281.9965	249.3307	0	0	337.626	246.8413	406.5817	238.2052	0	0	464.9772	233.9135	378.8925	315.0802	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	218	157	300	300	-2.180665	0	-1.319431	0	-3.219679	0	-2.31014	0	-0.8274782	0	-3.494499	0	-1.81829	0	-0.161869	0	0.04522477	0	1.9384	0	-2.180665	0	-0.8274782	0	-0.9924084	-0.9958943	-1.217417	-0.4691978	-1.412437	-0.4916059	-4.06241	-2.354055	-1.541827	-0.5701433	-1.582111	-0.8869838	-1.024565	-0.8993147	-0.5574571	-0.5837103	-2.641546	-1.944977	-1.723947	-2.776377	-3.046645	-0.2859112	4.339206	282.0386	249.4142	0	0	337.5605	246.886	406.313	237.4736	0	0	465.2294	234.5385	379.0499	314.9157	0	0						
AFDES	20160317	Medit F06joyface Forward-1	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	219	157	300	300	-2.189831	0	-1.216697	0	-3.243013	0	-2.343808	0	-0.8405877	0	-3.423965	0	-1.835063	0	-0.1018861	0	0.1434731	0	1.892632	0	-2.189831	0	-0.8405877	0	-0.9903372	-0.998514	-1.222825	-0.4801012	-1.382992	-0.4520589	-4.045739	-2.322398	-1.523918	-0.5639462	-1.599769	-0.8795764	-0.9752454	-0.9365801	-0.5107126	-0.5602061	-2.639911	-1.941719	-1.780258	-2.806061	-3.044872	-0.3570637	4.372373	282.1331	249.8254	0	0	337.5907	246.9171	406.4491	237.5873	0	0	464.9908	234.0163	379.1142	315.1296	0	0						
