#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:12.626 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	172	171	309	309	-7.217184	0	-4.028869	0	-3.250688	0	-2.340827	0	-1.789149	0	-3.172159	0	-1.747444	0	-1.8179	0	-3.23018	0	2.783099	0	-7.217184	0	-1.747444	0	-0.06286166	0.2397571	-1.39881	-1.33288	-2.056957	-1.685605	-5.794165	-1.70172	-3.019746	-2.779562	-1.131667	-1.988453	-3.36929	-1.506652	-2.220082	-2.3075	-2.348584	-2.755865	-5.530487	-2.367278	-0.04964975	-1.551666	0.6355382	239.0257	261.9326	0	0	298.2958	265.2095	372.8574	262.4128	0	0	432.0863	256.6512	335.0704	327.533	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	173	173	307	307	-7.315338	0	-3.867212	0	-3.608016	0	-2.583293	0	-1.66347	0	-2.765497	0	-1.548981	0	-1.290029	0	-2.897327	0	2.737391	0	-7.315338	0	-1.548981	0	0.1653601	0.4236959	-1.192783	-1.615788	-1.772956	-1.608583	-5.521833	-1.614882	-3.028608	-2.877355	-1.20062	-2.088711	-3.558398	-1.598601	-2.358689	-2.400308	-2.452811	-2.973456	-5.793612	-1.649178	0.2343602	-1.770727	0.4773066	240.8678	264.5762	0	0	298.2193	266.192	372.0405	263.9719	0	0	433.549	258.2532	334.05	327.7252	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	174	174	307	307	-7.388364	0	-3.338161	0	-6.748242	0	-4.099867	0	-1.641101	0	-1.838377	0	-0.8035197	0	-0.1616011	0	-2.059881	0	2.192481	0	-7.388364	0	-0.8035197	0	0.5411698	0.6949058	-1.116979	-3.20974	-1.567067	-0.9979047	-3.93956	-1.548676	-2.65921	-2.869115	-0.850799	-1.876699	-3.086056	-1.475958	-2.091694	-1.998571	-2.370955	-2.959942	-5.769511	0.5180083	0.567983	-2.473149	0.4173664	238.7045	268.2485	0	0	302.9049	266.9299	372.1417	263.4922	0	0	433.3264	257.8935	332.8286	328.0375	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	175	175	306	306	-7.177669	0	-3.286376	0	-7.040836	0	-3.921882	0	-1.534857	0	-1.913367	0	-0.6711001	0	-0.2034104	0	-2.035584	0	2.116194	0	-7.177669	0	-0.6711001	0	0.5042304	0.6246219	-1.094448	-3.478915	-1.989527	-1.385407	-4.038211	-1.532223	-2.494928	-2.709347	-0.7590151	-1.771876	-2.999824	-1.390262	-2.037363	-1.921865	-2.529238	-3.041151	-5.676834	1.247787	0.6345717	-2.162684	0.4765835	238.6816	270.1184	0	0	305.7173	264.6336	371.721	263.686	0	0	433.6154	259.4904	333.1002	327.7234	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	174	174	308	308	-7.484159	0	-3.310786	0	-7.230462	0	-4.050879	0	-1.6116	0	-1.608274	0	-0.69102	0	-0.1806781	0	-2.058534	0	2.069855	0	-7.484159	0	-0.69102	0	0.5708117	0.6591101	-1.106489	-3.359895	-1.749762	-1.136196	-3.75475	-1.452058	-2.631256	-2.879189	-0.7349677	-1.835	-3.095601	-1.489576	-2.092834	-2.003504	-2.414034	-3.062512	-5.784435	0.7861103	0.6233187	-2.283503	0.4698238	237.547	269.4591	0	0	304.5044	265.5503	372.2003	264.9041	0	0	433.6341	258.7661	332.9864	327.6484	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	173	173	310	310	-7.216077	0	-3.498764	0	-6.791812	0	-3.798247	0	-1.577111	0	-1.718622	0	-0.7642832	0	-0.3288867	0	-2.118578	0	2.059551	0	-7.216077	0	-0.7642832	0	0.5845591	0.711903	-1.143468	-3.047148	-1.436714	-0.8846866	-3.834279	-1.554574	-2.629509	-2.820029	-0.8033157	-1.820742	-3.178954	-1.396505	-2.06023	-1.933263	-2.306831	-2.982949	-5.546046	0.1400268	0.5854241	-1.986466	0.5921891	238.4381	268.1034	0	0	300.8401	267.6111	372.405	263.8064	0	0	434.8369	257.9318	333.2117	327.0159	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	171	173	311	311	-7.105761	0	-3.541023	0	-5.961541	0	-3.474527	0	-1.538865	0	-1.800719	0	-0.9902554	0	-0.4305992	0	-2.146976	0	2.219458	0	-7.105761	0	-0.9902554	0	0.5367104	0.7396911	-1.178569	-2.398461	-1.117707	-0.708375	-4.356882	-1.640497	-2.790668	-2.851627	-1.070748	-2.053963	-3.59934	-1.440105	-2.255674	-2.136972	-2.249605	-3.023268	-5.545868	-0.6945841	-0.2108006	-2.424455	0.4586829	238.2879	266.1878	0	0	297.0105	267.5053	372.2537	264.2742	0	0	433.9214	258.1078	333.327	327.6582	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	170	172	312	312	-7.114022	0	-3.623415	0	-5.536858	0	-3.399715	0	-1.623203	0	-1.898749	0	-1.001505	0	-0.5921012	0	-2.332043	0	2.296928	0	-7.114022	0	-1.001505	0	0.427092	0.6376878	-1.130365	-2.152727	-1.077062	-0.7220402	-4.541296	-1.620524	-2.845288	-2.875859	-0.9462277	-2.002317	-3.665049	-1.476448	-2.295123	-2.201103	-2.302182	-3.045532	-5.488858	-1.037873	0.1715353	-2.3666	0.4789687	238.326	265.528	0	0	295.5947	267.2033	372.0624	264.4927	0	0	434.2638	257.6401	333.04	327.5354	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	171	172	311	311	-7.08773	0	-3.774814	0	-4.800252	0	-2.864123	0	-1.551723	0	-2.345167	0	-1.239395	0	-0.8792347	0	-2.542181	0	2.461482	0	-7.08773	0	-1.239395	0	0.3559722	0.5440859	-1.178459	-1.807569	-1.374985	-1.047666	-5.094514	-1.701205	-2.910561	-2.77186	-1.134642	-2.082763	-3.693864	-1.443907	-2.195133	-2.234606	-2.353968	-3.037432	-5.65525	-1.429457	0.07868641	-2.539355	0.5061246	239.9607	265.3373	0	0	296.4584	266.4229	373.4731	264.2384	0	0	434.4472	257.5538	333.4359	327.1957	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	172	172	309	309	-7.296109	0	-3.911459	0	-4.462479	0	-3.012047	0	-1.658759	0	-2.537718	0	-1.427075	0	-1.107904	0	-2.808959	0	2.638612	0	-7.296109	0	-1.427075	0	0.2687514	0.4867418	-1.245071	-1.740605	-1.576485	-1.24556	-5.318155	-1.775993	-3.001075	-2.846728	-1.120551	-2.081616	-3.640507	-1.5604	-2.202399	-2.343379	-2.443792	-3.070116	-5.914272	-1.603499	-0.644106	-2.94509	0.4664823	240.2906	265.2394	0	0	297.9161	265.5553	372.9989	264.0084	0	0	434.2212	257.0422	334.0828	327.3162	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	480	480			10	480	1	172	172	310	310	-7.186678	0	-4.025022	0	-4.340897	0	-2.746205	0	-1.635177	0	-2.588607	0	-1.38933	0	-1.242609	0	-2.936745	0	2.621191	0	-7.186678	0	-1.38933	0	0.2738606	0.4734012	-1.230651	-1.582064	-1.616346	-1.297654	-5.456042	-1.740751	-3.002791	-2.842387	-1.146928	-2.113851	-3.715338	-1.480173	-2.278991	-2.366887	-2.43861	-3.098831	-5.914842	-1.819235	-0.7736812	-2.840514	0.4610203	240.2012	265.1284	0	0	296.4863	265.655	372.9059	263.9937	0	0	433.9749	256.7605	334.2335	327.2255	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	520	520			11	520	1	172	172	309	309	-7.316864	0	-4.077009	0	-3.968	0	-2.589141	0	-1.729033	0	-2.659249	0	-1.427354	0	-1.467203	0	-3.167415	0	2.650308	0	-7.316864	0	-1.427354	0	0.2603626	0.4767529	-1.257957	-1.403018	-1.735382	-1.41875	-5.591988	-1.724092	-3.063934	-2.894276	-1.066882	-2.086946	-3.643314	-1.515839	-2.325073	-2.409828	-2.464287	-3.102264	-6.022253	-1.987336	-0.6078987	-2.684725	0.4864024	240.3687	264.9731	0	0	296.4486	265.5668	372.7396	263.3887	0	0	433.7502	256.8657	334.4531	327.2922	0	0						
AFDES	20160317	Medit F08angerface Forward-2	0	MALE	test	TestImage	Emotient FACET	560	560			12	560	1	172	172	309	309	-7.35535	0	-4.04222	0	-3.790394	0	-2.519298	0	-1.775281	0	-2.679165	0	-1.485423	0	-1.510158	0	-3.190623	0	2.675159	0	-7.35535	0	-1.485423	0	0.2374259	0.4661955	-1.23685	-1.310796	-1.676086	-1.396927	-5.642539	-1.70074	-3.075578	-2.917178	-1.103362	-2.117918	-3.637148	-1.611382	-2.393263	-2.43254	-2.503901	-3.144186	-6.110948	-2.099228	-0.8089508	-2.565709	0.4693277	240.0905	264.5374	0	0	297.0403	266.0378	371.8034	262.6732	0	0	433.4743	257.0521	334.2322	327.3479	0	0						
