#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:14.261 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	215	193	279	279	-4.422442	0	-3.626616	0	0.8321982	0	-0.8420372	0	-1.08096	0	-3.586217	0	-1.711806	0	-2.23428	0	-3.110263	0	1.672652	0	-4.422442	0	-0.8420372	0	0.7997227	0.9727742	-0.5050442	-0.8134311	-2.11789	-1.720372	-4.619524	-1.990553	-2.203977	-1.920994	-1.429857	-1.309671	-1.203607	-0.967589	-1.048409	-1.836102	-0.6084841	-1.031481	-3.601079	-0.7940534	-0.3947818	6.684464	-0.1602051	279.1677	271.741	0	0	330.9394	273.7275	395.3358	273.837	0	0	446.8256	268.7719	364.2222	344.0311	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	215	193	279	279	-4.533998	0	-3.710334	0	0.8561785	0	-0.7814683	0	-1.073475	0	-3.618087	0	-1.740118	0	-2.250287	0	-3.204885	0	1.707503	0	-4.533998	0	-0.7814683	0	0.8175029	1.010669	-0.4989559	-0.7682691	-2.11609	-1.751053	-4.689153	-2.023957	-2.238892	-1.992284	-1.540276	-1.379505	-1.147566	-0.9880812	-1.122773	-1.923127	-0.6256354	-1.070465	-3.709046	-0.7182001	-0.2731103	7.120586	-0.07045534	279.679	271.3819	0	0	330.7948	273.6712	396.0913	274.0056	0	0	447.2061	268.6169	362.8469	344.186	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	216	193	278	278	-4.649836	0	-3.647136	0	0.8755389	0	-0.785817	0	-1.120825	0	-3.647241	0	-1.698705	0	-2.201911	0	-3.154383	0	1.652155	0	-4.649836	0	-0.785817	0	0.8905745	1.053844	-0.4108969	-0.7169244	-2.13121	-1.717815	-4.714626	-2.030028	-2.319783	-2.058429	-1.561971	-1.41888	-1.259233	-1.008319	-1.13098	-1.997517	-0.6345506	-1.110439	-3.820361	-0.7584748	-0.1621822	7.079542	-0.1583499	280.79	271.1457	0	0	331.3547	273.3033	396.1928	273.9535	0	0	446.6882	269.0701	364.2447	344.9087	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	216	193	278	278	-4.515479	0	-3.614486	0	0.7437594	0	-0.8429635	0	-1.059043	0	-3.64532	0	-1.597286	0	-2.13559	0	-3.043792	0	1.796183	0	-4.515479	0	-0.8429635	0	0.7922922	0.9381358	-0.4884828	-0.8434767	-2.128809	-1.717911	-4.651165	-2.058434	-2.252506	-1.910737	-1.474699	-1.328868	-1.187216	-0.9929777	-1.068274	-1.830374	-0.7218552	-1.152208	-3.644364	-0.74177	-0.360464	7.086173	-0.129194	280.2525	271.7368	0	0	331.7782	273.6632	396.4198	273.6309	0	0	447.7706	268.6666	364.4742	343.4597	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	216	193	278	278	-4.458971	0	-3.635914	0	0.7070844	0	-0.8516889	0	-1.010412	0	-3.610862	0	-1.581	0	-2.168758	0	-3.048882	0	1.877934	0	-4.458971	0	-0.8516889	0	0.7346234	0.895413	-0.5428159	-0.8460342	-2.124148	-1.715738	-4.631501	-2.068889	-2.225099	-1.858705	-1.439658	-1.250602	-1.115504	-0.9916322	-1.057163	-1.764083	-0.793281	-1.187148	-3.597937	-0.8160986	-0.2300137	7.201751	-0.2114937	280.1692	271.746	0	0	331.7098	273.6661	396.8404	273.3054	0	0	447.7482	268.6543	364.2626	343.3314	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	216	193	279	279	-4.481464	0	-3.658921	0	0.6422797	0	-0.8408753	0	-0.9715393	0	-3.639054	0	-1.607869	0	-2.145491	0	-3.038369	0	1.937378	0	-4.481464	0	-0.8408753	0	0.7277581	0.877349	-0.5368768	-0.8903218	-2.116131	-1.734111	-4.649725	-2.095522	-2.225245	-1.851084	-1.480255	-1.297404	-1.115679	-0.9740916	-1.080332	-1.799604	-0.8153295	-1.242895	-3.613451	-0.7922391	-0.1322246	7.115516	-0.1851404	279.8831	271.9218	0	0	331.7597	273.6401	396.8322	273.2734	0	0	447.6939	268.761	364.231	343.2023	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	217	193	278	278	-4.496945	0	-3.63519	0	0.633045	0	-0.9586567	0	-1.055677	0	-3.587369	0	-1.66223	0	-2.225823	0	-3.07059	0	1.893151	0	-4.496945	0	-0.9586567	0	0.7064304	0.8622928	-0.5561773	-0.8842117	-2.207118	-1.759557	-4.599229	-2.03672	-2.283391	-1.876833	-1.430353	-1.252464	-1.176713	-0.9553337	-1.028103	-1.776561	-0.7710403	-1.197881	-3.562045	-0.8558362	-0.2125979	7.160456	-0.234062	280.1963	271.8321	0	0	331.803	273.7021	396.8078	272.6742	0	0	447.5648	268.7548	364.6659	342.608	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	214	192	280	280	-4.45408	0	-3.767922	0	0.6624891	0	-0.8438428	0	-1.010608	0	-3.548483	0	-1.741544	0	-2.27026	0	-3.229724	0	2.017077	0	-4.45408	0	-0.8438428	0	0.6615133	0.8809358	-0.6288626	-0.8874383	-2.169042	-1.77917	-4.711954	-2.095867	-2.204909	-1.876135	-1.556127	-1.291675	-0.9454785	-1.021113	-1.127459	-1.866621	-0.7851326	-1.188302	-3.612498	-0.9789287	-0.3473167	7.237792	-0.2130387	279.2517	270.6601	0	0	330.6608	273.5605	396.5078	273.4961	0	0	447.1937	268.735	363.2196	343.831	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	216	193	277	277	-4.653562	0	-3.747778	0	0.7745425	0	-0.8115337	0	-1.050879	0	-3.615076	0	-1.812631	0	-2.333579	0	-3.276116	0	1.835216	0	-4.653562	0	-0.8115337	0	0.7984081	1.022503	-0.5406184	-0.7026663	-2.202373	-1.75812	-4.805397	-2.09535	-2.329557	-2.068267	-1.572147	-1.421342	-1.199857	-0.9819027	-1.149805	-2.060692	-0.6770179	-1.151654	-3.806237	-0.9617748	-0.3365498	7.137061	-0.2376168	280.2827	270.5104	0	0	330.6723	273.5285	395.9451	273.9775	0	0	446.5028	269.1118	363.4047	343.8015	0	0						
AFDES	20160317	Medit M01sadnessface Forward-4	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	215	193	278	278	-4.72602	0	-3.746582	0	0.7747704	0	-0.8351332	0	-1.128654	0	-3.621664	0	-1.817495	0	-2.344786	0	-3.298384	0	1.848633	0	-4.72602	0	-0.8351332	0	0.7589455	0.9801574	-0.5448204	-0.7185932	-2.222447	-1.760768	-4.763114	-2.099169	-2.360156	-2.077707	-1.565629	-1.407634	-1.182922	-0.9718453	-1.123402	-2.074621	-0.6361091	-1.112106	-3.795643	-1.006905	-0.4363049	7.0075	-0.1168259	279.8127	270.2999	0	0	330.6279	273.5553	395.9708	273.9724	0	0	446.6337	269.0962	363.9281	343.3678	0	0						
