#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:15.087 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	205	155	297	297	-2.761238	0	-5.478698	0	-2.108299	0	-1.796539	0	-0.5723557	0	-4.396117	0	-2.257869	0	-3.356249	0	-3.819221	0	2.630066	0	-2.761238	0	-0.5723557	0	-0.7526857	-0.579688	-1.51019	-1.578677	-1.663891	-1.404695	-5.069898	-1.892671	-1.659243	-1.421836	-1.289348	-1.064271	-1.289706	-0.08893164	-1.177754	-2.086879	-0.7053298	-0.5902218	-3.293852	-2.918639	3.18986	4.996983	3.66611	267.4229	243.4953	0	0	325.7893	244.8449	393.2966	237.5406	0	0	450.3786	232.9115	364.2925	309.2333	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	206	155	296	296	-3.007978	0	-5.299679	0	-2.090446	0	-1.658051	0	-0.6054313	0	-4.192636	0	-2.243067	0	-3.248583	0	-3.708813	0	2.633194	0	-3.007978	0	-0.6054313	0	-0.6986387	-0.5292321	-1.437873	-1.573277	-1.61468	-1.419119	-4.899201	-1.854215	-1.767888	-1.479301	-1.290427	-1.129507	-1.248681	-0.1263514	-1.173011	-2.144708	-0.6251974	-0.5672179	-3.288074	-2.792092	3.010598	5.150977	3.520361	267.6592	243.5023	0	0	326.0436	244.8211	393.3532	237.8033	0	0	450.3739	233.06	365.5204	308.2197	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	206	155	297	297	-3.081412	0	-5.268355	0	-2.009651	0	-1.768804	0	-0.621278	0	-4.385143	0	-2.229219	0	-3.256162	0	-3.720911	0	2.701446	0	-3.081412	0	-0.621278	0	-0.7983491	-0.5943546	-1.53155	-1.545213	-1.781024	-1.46169	-5.037545	-1.913264	-1.715425	-1.441744	-1.272106	-1.035648	-1.263683	-0.1802635	-1.192319	-1.997518	-0.7802818	-0.6549641	-3.384097	-2.818413	3.230127	5.118632	3.499866	266.6716	243.6132	0	0	326.761	245.4665	393.3696	237.633	0	0	450.4913	232.9905	366.016	309.0219	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	206	155	297	297	-3.096872	0	-5.502894	0	-1.976622	0	-1.686844	0	-0.602404	0	-4.622051	0	-2.269629	0	-3.372604	0	-3.866395	0	2.721845	0	-3.096872	0	-0.602404	0	-0.7450945	-0.56636	-1.533059	-1.515721	-1.886097	-1.567183	-5.226852	-2.003914	-1.764361	-1.430022	-1.340903	-1.069721	-1.339855	-0.1940947	-1.224501	-2.075744	-0.7972206	-0.6671474	-3.398587	-2.919512	3.162992	5.026826	3.447929	267.5174	243.3961	0	0	326.5694	245.3019	393.7369	238.1414	0	0	450.3911	232.9749	365.2396	309.5928	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	206	155	297	297	-3.025762	0	-5.407078	0	-2.063118	0	-1.752232	0	-0.642722	0	-4.478723	0	-2.205332	0	-3.313298	0	-3.815833	0	2.662374	0	-3.025762	0	-0.642722	0	-0.7714031	-0.592356	-1.512554	-1.562101	-1.781909	-1.456615	-5.121878	-1.960713	-1.726166	-1.468135	-1.249857	-1.051538	-1.302707	-0.1199873	-1.177835	-2.053211	-0.764142	-0.6463991	-3.39757	-2.813043	3.218376	5.046282	3.478179	267.6189	243.3244	0	0	326.5777	245.2399	393.2645	237.6194	0	0	450.9339	232.5089	365.0012	309.3086	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	206	155	296	296	-3.137992	0	-5.461727	0	-2.103266	0	-1.624752	0	-0.6568764	0	-4.497903	0	-2.151989	0	-3.285736	0	-3.836527	0	2.647491	0	-3.137992	0	-0.6568764	0	-0.7030484	-0.5515184	-1.462212	-1.53685	-1.810408	-1.505662	-5.131486	-1.964675	-1.777456	-1.476339	-1.263988	-1.063969	-1.309035	-0.1324763	-1.198246	-2.098781	-0.7460132	-0.6542453	-3.409652	-2.870997	3.152483	5.172739	3.51262	267.5716	243.5533	0	0	326.884	245.3143	393.3943	237.6144	0	0	450.4084	232.9584	364.5921	309.5724	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	205	154	297	297	-3.142751	0	-5.35157	0	-2.149652	0	-1.778346	0	-0.7398689	0	-4.360559	0	-2.126653	0	-3.297073	0	-3.823909	0	2.65741	0	-3.142751	0	-0.7398689	0	-0.7875642	-0.6078859	-1.51524	-1.534271	-1.72827	-1.39166	-5.085268	-1.929116	-1.763798	-1.542555	-1.164356	-1.028981	-1.263178	-0.1115799	-1.208482	-2.062363	-0.7846524	-0.6745995	-3.454192	-2.839896	3.277718	5.024302	3.528218	267.7539	243.6414	0	0	326.0215	244.7034	393.3443	237.4899	0	0	450.8878	232.5128	364.6417	309.5132	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	206	155	297	297	-3.044297	0	-5.360232	0	-1.945019	0	-1.696935	0	-0.5976883	0	-4.460213	0	-2.180643	0	-3.343834	0	-3.802518	0	2.700858	0	-3.044297	0	-0.5976883	0	-0.7863919	-0.5773998	-1.566678	-1.492697	-1.832321	-1.522669	-5.127247	-1.947018	-1.690851	-1.400932	-1.214913	-0.971916	-1.225805	-0.2115771	-1.209314	-1.928476	-0.8435818	-0.667672	-3.358952	-2.902449	3.159296	4.930818	3.465194	267.5604	243.6411	0	0	326.7862	245.2997	393.3638	237.6896	0	0	451.0062	232.6393	365.135	309.8207	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	205	154	297	297	-2.823343	0	-5.304125	0	-2.408858	0	-2.005944	0	-0.5844975	0	-4.301861	0	-2.266433	0	-3.20313	0	-3.62422	0	2.637277	0	-2.823343	0	-0.5844975	0	-0.8736183	-0.671803	-1.504975	-1.68813	-1.559763	-1.329548	-4.791218	-1.878658	-1.625738	-1.438659	-1.257314	-0.9885392	-1.232493	-0.02294056	-1.15782	-2.002237	-0.7948637	-0.6261845	-3.190265	-3.162238	4.052393	5.02434	3.4935	267.1653	242.3628	0	0	327.1318	244.5354	393.825	238.2118	0	0	451.4108	232.8599	364.5488	308.2066	0	0						
AFDES	20160317	Medit M07fearface Forward-5	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	205	154	297	297	-2.959857	0	-5.134103	0	-2.398555	0	-2.015745	0	-0.6601911	0	-4.145231	0	-2.221342	0	-3.083302	0	-3.544947	0	2.602675	0	-2.959857	0	-0.6601911	0	-0.8722204	-0.6717249	-1.490439	-1.696022	-1.519183	-1.25288	-4.713136	-1.878871	-1.70737	-1.538124	-1.211229	-1.028851	-1.190691	0.007359728	-1.148147	-2.061639	-0.7226823	-0.5887386	-3.243955	-2.863167	4.135479	4.937735	3.502435	267.0776	242.6666	0	0	326.8066	244.3908	393.4436	237.3017	0	0	451.2243	232.2186	364.2455	308.0313	0	0						
