#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:16.023 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	181	161	296	296	-4.628925	0	-2.388353	0	-0.5326018	0	-0.0773963	0	-0.865006	0	-2.253311	0	-1.318151	0	-1.376106	0	-1.824599	0	1.949574	0	-4.628925	0	-0.0773963	0	0.282612	0.2149384	-0.5288799	-0.6152354	-1.061924	-0.8227735	-3.444417	-1.390684	-2.372826	-1.772474	-1.578124	-1.524481	-0.9206066	-1.295663	-1.087341	-1.824297	-1.126836	-1.414174	-3.221312	-1.179525	0.8670483	5.405221	-3.247626	254.2871	238.6168	0	0	307.084	243.3009	375.0983	247.4821	0	0	428.0232	246.8528	339.9083	326.3268	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	183	162	294	294	-4.893059	0	-2.622282	0	-0.2318406	0	-0.01361874	0	-0.9930107	0	-2.432138	0	-1.438325	0	-1.63398	0	-2.14849	0	1.989598	0	-4.893059	0	-0.01361874	0	0.3208743	0.3027271	-0.5905574	-0.5599928	-1.251342	-0.9862079	-3.683659	-1.439516	-2.40159	-1.829235	-1.60371	-1.533898	-0.8380684	-1.449421	-1.075989	-1.803101	-1.12785	-1.524667	-3.379405	-1.053592	0.6634421	5.077435	-3.168115	254.1235	239.9025	0	0	308.753	244.1881	376.1352	246.7485	0	0	427.5131	246.691	340.7528	325.2924	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	183	162	294	294	-4.923165	0	-2.602863	0	-0.1832464	0	0.04730835	0	-1.046674	0	-2.362612	0	-1.495762	0	-1.672169	0	-2.200985	0	2.004018	0	-4.923165	0	0.04730835	0	0.2699626	0.2738257	-0.6008699	-0.5748966	-1.287614	-0.9997314	-3.627444	-1.393647	-2.410195	-1.863721	-1.587025	-1.53905	-0.8929232	-1.344182	-1.046038	-1.851904	-1.0273	-1.491239	-3.375551	-1.013822	0.8769391	5.233025	-3.402064	255.4446	239.0133	0	0	308.2525	244.5681	375.0514	246.5326	0	0	427.8577	246.0774	340.0102	326.3303	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	183	162	293	293	-4.908548	0	-2.546727	0	-0.1667183	0	0.11927	0	-1.045132	0	-2.32573	0	-1.455601	0	-1.615222	0	-2.137407	0	1.977011	0	-4.908548	0	0.11927	0	0.2608945	0.2639501	-0.5922077	-0.5604008	-1.278681	-1.021839	-3.600443	-1.352733	-2.391497	-1.870219	-1.562433	-1.533929	-0.9616787	-1.310225	-1.038735	-1.856651	-1.005556	-1.5304	-3.387392	-0.9600545	0.904247	5.205598	-3.466097	255.3762	239.4133	0	0	308.1937	244.5389	374.9151	246.5175	0	0	427.8546	246.0436	340.0831	325.864	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	182	161	294	294	-4.894525	0	-2.467613	0	-0.2548515	0	0.003956177	0	-1.084337	0	-2.124751	0	-1.376601	0	-1.624421	0	-2.166745	0	1.974946	0	-4.894525	0	0.003956177	0	0.2083625	0.1817171	-0.5478929	-0.6170745	-1.249589	-0.9940821	-3.405065	-1.271479	-2.411896	-1.909641	-1.501193	-1.499958	-0.94361	-1.310719	-1.065891	-1.915123	-0.9710453	-1.463991	-3.460063	-0.9783866	0.9325879	5.426772	-3.407284	255.3201	238.7549	0	0	307.2834	243.0191	374.7875	246.5301	0	0	427.481	246.7554	339.8219	326.4922	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	183	163	293	293	-4.881712	0	-2.620495	0	-0.1337857	0	0.2158922	0	-1.027835	0	-2.408174	0	-1.345538	0	-1.692833	0	-2.218956	0	1.884444	0	-4.881712	0	0.2158922	0	0.4167191	0.4165971	-0.5177388	-0.39056	-1.211852	-0.9900104	-3.703616	-1.342004	-2.34235	-1.806025	-1.493553	-1.528151	-0.9375313	-1.388568	-1.124926	-1.855169	-1.091199	-1.520919	-3.386949	-0.9935673	0.5275756	5.196759	-3.244379	255.0729	240.5796	0	0	307.747	245.0695	375.4763	247.2827	0	0	427.0634	247.2447	339.3164	326.9725	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	183	163	293	293	-4.96403	0	-2.638813	0	-0.1727145	0	0.2233177	0	-1.040655	0	-2.450199	0	-1.39694	0	-1.726357	0	-2.242817	0	1.890833	0	-4.96403	0	0.2233177	0	0.3927639	0.4081076	-0.5366889	-0.3994797	-1.231291	-0.9932995	-3.758939	-1.382933	-2.341872	-1.827589	-1.499771	-1.543714	-0.9531596	-1.350721	-1.112061	-1.883666	-1.097334	-1.525929	-3.420672	-1.009418	0.6887057	5.202674	-3.173588	255.0807	240.7235	0	0	307.6198	245.0318	375.4019	247.4336	0	0	427.1347	247.3239	339.2184	326.6306	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	183	163	293	293	-5.064963	0	-2.633331	0	-0.09072763	0	0.2092397	0	-1.059237	0	-2.62613	0	-1.372143	0	-1.639717	0	-2.183811	0	1.887266	0	-5.064963	0	0.2092397	0	0.4001782	0.4018483	-0.4959589	-0.3769131	-1.262456	-1.023977	-3.800497	-1.475308	-2.389699	-1.811952	-1.603549	-1.565583	-0.9296716	-1.442818	-1.080641	-1.863053	-1.098392	-1.524645	-3.42864	-0.9855296	0.7645975	5.318084	-3.244673	254.8642	241.2737	0	0	307.5035	245.0728	375.5056	247.4919	0	0	427.1902	247.3362	339.4051	326.4007	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	182	162	295	295	-4.925582	0	-2.523399	0	-0.2647778	0	0.006589985	0	-0.9665977	0	-2.52444	0	-1.385855	0	-1.518168	0	-1.988949	0	1.955163	0	-4.925582	0	0.006589985	0	0.2910037	0.2651151	-0.5415925	-0.5703944	-1.241097	-1.014507	-3.640799	-1.482184	-2.430774	-1.774102	-1.608881	-1.518911	-0.8627821	-1.45438	-1.056137	-1.754643	-1.140457	-1.482688	-3.306884	-1.072976	0.8281953	4.938993	-3.243881	253.6503	241.3503	0	0	307.7553	245.2181	374.4788	246.9189	0	0	427.5411	247.0403	339.5139	326.5533	0	0						
AFDES	20160317	Medit M10surpriseface Forward-6	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	181	162	296	296	-4.83981	0	-2.544135	0	-0.3737054	0	-0.04468556	0	-0.858786	0	-2.689651	0	-1.349663	0	-1.425763	0	-1.869112	0	2.01005	0	-4.83981	0	-0.04468556	0	0.3360998	0.2878014	-0.5375304	-0.5534236	-1.217012	-0.9693991	-3.779886	-1.587175	-2.459194	-1.70716	-1.711342	-1.562518	-0.8255045	-1.469858	-1.091138	-1.734052	-1.234503	-1.467092	-3.165149	-1.163121	0.7404237	4.992278	-3.200105	253.5934	241.2903	0	0	307.8599	245.1766	374.586	246.9646	0	0	428.227	247.8117	339.7382	327.1513	0	0						
