#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:16.978 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	213	199	289	289	-2.602858	0	-2.17826	0	-1.810096	0	-1.130242	0	-0.6471601	0	-1.778197	0	-2.940914	0	-1.473423	0	-1.537922	0	2.083101	0	-2.602858	0	-0.6471601	0	-1.435671	-1.097415	-1.501944	-1.254661	-1.266247	-0.75249	-4.344067	-0.9192904	-1.486314	-1.235671	-1.99289	-1.668244	-1.459872	-0.4709143	-1.56622	-1.497679	-0.7494424	-0.7240331	-3.62107	-3.380038	1.602251	4.230276	3.951148	273.384	284.6152	0	0	330.5303	289.2766	397.4068	283.0031	0	0	453.7686	276.2855	367.1962	347.2529	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	212	199	290	290	-2.653282	0	-2.11193	0	-1.707778	0	-1.214681	0	-0.6564845	0	-1.78398	0	-2.940115	0	-1.409733	0	-1.472615	0	2.0836	0	-2.653282	0	-0.6564845	0	-1.431496	-1.086798	-1.501628	-1.273887	-1.334247	-0.7908521	-4.328512	-0.9595202	-1.511489	-1.266239	-2.03755	-1.66249	-1.32823	-0.6314731	-1.528429	-1.477258	-0.7716326	-0.7179013	-3.659917	-3.237076	1.544836	4.40067	3.954628	273.2023	284.8064	0	0	330.6422	289.1317	397.5018	282.9132	0	0	454.3732	275.8484	367.1482	347.3216	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	211	199	292	292	-2.509719	0	-1.985464	0	-1.887301	0	-1.426548	0	-0.542819	0	-1.592224	0	-2.807787	0	-1.19036	0	-1.282634	0	2.034588	0	-2.509719	0	-0.542819	0	-1.392355	-1.105809	-1.451339	-1.36315	-1.196283	-0.7289	-4.112628	-0.8583994	-1.491243	-1.266322	-2.025534	-1.669661	-1.24077	-0.7566246	-1.477691	-1.476898	-0.7985232	-0.7768123	-3.672451	-3.063337	1.550373	4.402028	4.007541	272.6258	284.7882	0	0	330.4897	289.0741	398.2518	283.0174	0	0	454.4097	275.9854	366.7365	348.0065	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	212	200	290	290	-2.645213	0	-2.204566	0	-1.649856	0	-1.111387	0	-0.6342757	0	-1.897488	0	-2.965915	0	-1.568543	0	-1.559225	0	2.104721	0	-2.645213	0	-0.6342757	0	-1.385479	-1.024939	-1.508783	-1.222612	-1.370336	-0.799235	-4.381481	-0.9837517	-1.475087	-1.194434	-1.960456	-1.618024	-1.365341	-0.5329973	-1.510036	-1.385283	-0.7864521	-0.7011381	-3.540527	-3.329529	1.690989	4.402766	4.016572	273.2378	285.5063	0	0	330.5791	289.0849	397.5406	282.8093	0	0	453.4753	276.0015	366.4183	347.8852	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	213	199	291	291	-2.546161	0	-2.189742	0	-1.388488	0	-1.071384	0	-0.5966344	0	-1.897111	0	-2.852128	0	-1.784862	0	-1.633027	0	2.107832	0	-2.546161	0	-0.5966344	0	-1.293982	-0.907784	-1.505687	-1.106794	-1.337477	-0.765746	-4.387381	-0.9269733	-1.46139	-1.163826	-2.036491	-1.651358	-1.231452	-0.6368409	-1.46778	-1.38939	-0.7297373	-0.5685863	-3.588748	-3.282803	1.391424	4.541544	4.034728	273.5972	286.1488	0	0	330.7001	289.847	397.7632	282.0733	0	0	454.5757	276.2538	367.8992	348.2207	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	211	199	293	293	-2.387493	0	-1.959892	0	-1.710396	0	-1.409209	0	-0.4387096	0	-1.628521	0	-2.835537	0	-1.193438	0	-1.183256	0	1.977472	0	-2.387493	0	-0.4387096	0	-1.331936	-1.025344	-1.443659	-1.340533	-1.177366	-0.7209361	-4.099923	-0.8756662	-1.381437	-1.168503	-1.974519	-1.569593	-1.059557	-0.8335741	-1.351177	-1.333608	-0.8386002	-0.7658526	-3.545965	-2.920896	1.524289	4.383019	4.042666	272.5566	284.9603	0	0	330.5748	288.8925	397.5928	282.8241	0	0	454.6097	275.9381	366.4686	348.7667	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	211	199	292	292	-2.38103	0	-2.024085	0	-1.745448	0	-1.3615	0	-0.4435228	0	-1.686239	0	-2.909669	0	-1.284084	0	-1.247821	0	2.017648	0	-2.38103	0	-0.4435228	0	-1.354097	-1.045104	-1.485454	-1.326069	-1.227713	-0.7622997	-4.168864	-0.8748976	-1.397819	-1.166645	-1.972953	-1.58048	-1.146667	-0.7715433	-1.377553	-1.350691	-0.8576943	-0.8089535	-3.503523	-3.055657	1.579137	4.442897	4.019603	272.6215	284.8517	0	0	330.575	288.7779	397.5211	282.9116	0	0	454.5192	276.0056	366.7603	348.8282	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	211	199	292	292	-2.387045	0	-2.073678	0	-1.812076	0	-1.432243	0	-0.467013	0	-1.688121	0	-2.883551	0	-1.318304	0	-1.287212	0	2.060189	0	-2.387045	0	-0.467013	0	-1.407671	-1.096686	-1.529048	-1.389882	-1.246041	-0.7811875	-4.229044	-0.9061348	-1.41601	-1.187741	-1.953119	-1.572791	-1.125748	-0.7596999	-1.351364	-1.355113	-0.8437247	-0.7968351	-3.551605	-3.228657	1.430675	4.592675	3.945114	273.2281	284.6625	0	0	330.6527	288.8588	397.543	282.7685	0	0	455.175	275.9272	366.8239	348.741	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	211	198	295	295	-2.041486	0	-1.993826	0	-1.754395	0	-1.339932	0	-0.3855107	0	-1.419151	0	-2.720449	0	-1.348101	0	-1.326206	0	1.978528	0	-2.041486	0	-0.3855107	0	-1.351406	-1.044249	-1.489438	-1.328295	-1.116745	-0.7405491	-3.988945	-0.7319052	-1.345611	-1.163188	-2.010902	-1.563211	-1.113212	-0.8343365	-1.285857	-1.401259	-0.7783891	-0.7621717	-3.589887	-2.95344	1.16283	4.642964	3.855238	273.1439	284.7226	0	0	331.7214	290.011	397.7819	283.4706	0	0	456.9173	275.5851	367.269	349.5949	0	0						
AFDES	20160317	North Europ F01sadnessface Forward-7	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	213	200	291	291	-2.489067	0	-2.164819	0	-1.388212	0	-1.069463	0	-0.5292808	0	-1.931563	0	-2.835299	0	-1.744501	0	-1.552467	0	2.069022	0	-2.489067	0	-0.5292808	0	-1.292578	-0.93198	-1.479861	-1.119032	-1.376027	-0.8068832	-4.382865	-0.9542559	-1.408705	-1.05298	-2.000202	-1.586902	-1.178423	-0.6499881	-1.414801	-1.33189	-0.7647922	-0.585013	-3.393485	-3.315673	1.488688	4.504239	3.934386	274.4318	286.2265	0	0	330.9126	290.3512	398.1373	282.9763	0	0	455.524	276.789	367.8187	348.6004	0	0						
