#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:18.782 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	197	174	274	274	-6.951239	0	-3.154761	0	0.1169441	0	-0.490503	0	-2.594762	0	-3.395179	0	-2.104998	0	-2.929262	0	-4.220119	0	2.639493	0	-6.951239	0	-0.490503	0	-0.8176401	-0.4096982	-1.331114	0.0197967	-3.333073	-1.695693	-5.814126	-2.45222	-3.08465	-2.800276	-1.438053	-1.087197	-0.8748032	0.01947121	-1.442645	-2.851815	-0.81396	-0.9107233	-4.41937	-3.791616	-2.786118	-0.4567972	0.2170304	259.3889	251.6078	0	0	308.9846	257.3954	377.992	256.6477	0	0	429.8859	252.016	341.1851	312.521	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	197	174	275	275	-6.954374	0	-3.084436	0	0.08685047	0	-0.4732233	0	-2.624567	0	-3.234952	0	-2.114111	0	-2.932913	0	-4.262898	0	2.619767	0	-6.954374	0	-0.4732233	0	-0.8261092	-0.402354	-1.369025	0.04736337	-3.269203	-1.688432	-5.778712	-2.333392	-3.053812	-2.79765	-1.418719	-1.091081	-0.9428805	0.08509499	-1.4796	-2.91095	-0.7785507	-0.8854607	-4.485382	-3.77437	-2.653404	-0.4401941	0.5142708	258.9525	252.0579	0	0	309.2427	257.1896	377.948	255.5219	0	0	430.0131	252.5562	342.2929	312.3304	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	197	173	275	275	-6.894454	0	-3.094653	0	0.02758341	0	-0.5642186	0	-2.597247	0	-3.226661	0	-2.100596	0	-2.923579	0	-4.225564	0	2.663972	0	-6.894454	0	-0.5642186	0	-0.8777463	-0.4811429	-1.375548	-0.04319538	-3.287565	-1.681246	-5.774976	-2.347734	-3.046496	-2.771842	-1.426066	-1.081585	-0.9578927	0.1101353	-1.478963	-2.879459	-0.765438	-0.8982638	-4.481925	-3.869393	-2.534014	-0.3928012	0.5071935	259.4574	251.41	0	0	309.2027	256.8142	378.3494	256.0391	0	0	430.7881	252.145	341.5398	311.9376	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	198	174	273	273	-6.76721	0	-3.368887	0	-0.4246436	0	-1.027499	0	-2.384298	0	-3.178725	0	-1.978227	0	-2.831647	0	-4.142972	0	2.80994	0	-6.76721	0	-1.027499	0	-0.8433837	-0.4885511	-1.363701	-0.4799343	-3.085669	-1.736782	-5.495637	-2.238282	-2.954109	-2.651457	-1.251022	-0.9885675	-0.807384	0.1352279	-1.220271	-2.809967	-0.683313	-0.7778412	-4.244771	-3.809499	-2.535303	-0.9584111	0.1683201	260.0371	251.9571	0	0	309.4111	256.5959	377.8481	256.609	0	0	429.409	252.2839	341.9984	312.4569	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	198	179	270	270	-5.41293	0	-3.748152	0	-2.598766	0	-2.506015	0	-2.001396	0	-2.005969	0	-1.687706	0	-1.923274	0	-3.452654	0	1.98637	0	-5.41293	0	-1.687706	0	-0.5171871	-0.2204629	-1.443951	-2.285912	-1.489046	-0.5829746	-4.591735	-1.472264	-1.912266	-2.437118	-1.162682	-0.9261512	-1.258258	0.4839472	-1.164561	-2.408989	-0.1305639	-0.5039438	-4.224465	-0.3696732	-1.398134	-4.640206	-0.4096462	259.3659	257.8893	0	0	310.8379	258.6824	376.9805	260.5424	0	0	430.5788	260.442	340.3517	312.4662	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	199	180	270	270	-5.526683	0	-3.390003	0	-4.168763	0	-3.29283	0	-2.023923	0	-1.44733	0	-1.492632	0	-1.463782	0	-3.146729	0	1.633461	0	-5.526683	0	-1.44733	0	-0.3141525	-0.1065402	-1.248253	-3.073645	-1.407812	-0.5044672	-3.999347	-1.213681	-1.798723	-2.510792	-1.181712	-0.9933743	-1.541431	0.5177073	-1.152378	-2.459713	-0.07118315	-0.5723057	-4.251331	1.090234	-2.103923	-5.382245	-0.2471456	259.274	260.4661	0	0	311.9775	259.0705	377.1973	261.6791	0	0	430.9603	262.0501	339.5623	312.6736	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	196	178	275	275	-5.909033	0	-3.269523	0	-3.731565	0	-3.206155	0	-2.353549	0	-1.737345	0	-1.530702	0	-1.075366	0	-2.934338	0	1.924613	0	-5.909033	0	-1.530702	0	-0.4745162	-0.3023342	-1.14562	-2.884415	-1.236849	-0.2876595	-4.333926	-1.222407	-2.091245	-2.600615	-1.37893	-1.321231	-1.698558	0.3296617	-1.312192	-2.497066	-0.2242401	-0.6083996	-4.642119	-0.0788873	-1.915818	-5.091594	-0.3719972	258.2216	260.0859	0	0	311.0337	259.2266	377.4056	261.0246	0	0	433.4565	260.4417	339.5095	312.7884	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	195	177	276	276	-5.089527	0	-3.367139	0	-2.535041	0	-2.321091	0	-2.183048	0	-1.991979	0	-1.735643	0	-1.458992	0	-3.078295	0	2.025322	0	-5.089527	0	-1.735643	0	-0.6033019	-0.3784937	-1.226485	-2.023511	-1.311097	-0.317861	-4.769236	-1.472708	-2.025501	-2.480444	-1.428284	-1.282797	-1.406559	0.4106696	-1.420367	-2.49772	-0.1463838	-0.5291117	-4.349377	-1.368575	-1.914631	-3.787108	-0.4231955	258.7097	257.3778	0	0	309.757	257.8798	378.222	259.361	0	0	432.8986	259.8022	339.756	313.3503	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	197	177	272	272	-5.838485	0	-3.624071	0	-1.529601	0	-1.855648	0	-2.251556	0	-2.685754	0	-1.766113	0	-1.798761	0	-3.423711	0	2.341543	0	-5.838485	0	-1.766113	0	-0.60554	-0.3242351	-1.361403	-1.550567	-1.943285	-0.8339372	-5.072602	-1.923728	-2.344561	-2.541637	-1.167162	-1.080732	-0.9716788	0.5353197	-1.266662	-2.523847	-0.2461987	-0.4708639	-4.223699	-2.004879	-1.942799	-2.769404	-0.2791404	258.8704	255.6972	0	0	309.5225	256.7254	377.9887	258.7383	0	0	429.755	257.7537	341.305	312.5567	0	0						
AFDES	20160317	North Europ F04surpriseface Forward-9	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	194	174	278	278	-5.724506	0	-3.208037	0	-1.49534	0	-1.515775	0	-2.537533	0	-2.452327	0	-1.773712	0	-1.709816	0	-3.412786	0	2.263778	0	-5.724506	0	-1.515775	0	-0.9323874	-0.6678187	-1.295919	-1.225445	-2.270424	-0.9768804	-5.23707	-1.833481	-2.50835	-2.63911	-1.34059	-1.193967	-1.13733	0.4647697	-1.625591	-2.529051	-0.3845555	-0.5690628	-4.374421	-2.474496	-1.534095	-1.850215	-0.4710406	257.8038	254.2177	0	0	308.5033	256.9537	378.3931	255.9473	0	0	431.7697	257.1498	340.8306	313.2133	0	0						
