#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:20.457 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	177	185	308	308	-5.140427	0	-0.8485634	0	-3.50622	0	-1.272944	0	-1.304329	0	-3.108659	0	-2.264061	0	0.1515948	0	-0.06351668	0	1.446784	0	-5.140427	0	-0.8485634	0	-1.372214	-1.59735	-0.5310503	-1.028731	-2.34493	-1.26345	-3.978829	-2.024267	-2.53787	-1.626865	-1.847736	-1.585566	-0.7195395	-0.3951325	-1.030946	-1.306103	-2.0565	-2.131788	-2.056451	-2.54563	3.25466	8.253776	-1.801955	247.0752	270.2933	0	0	303.6	274.3308	381.1093	276.7362	0	0	435.5125	276.5016	344.7903	345.0713	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	176	186	309	309	-5.418243	0	-0.6033208	0	-3.371307	0	-1.372656	0	-1.553345	0	-2.886312	0	-2.167656	0	0.20237	0	-0.04536577	0	1.322253	0	-5.418243	0	-0.6033208	0	-1.3176	-1.548989	-0.5601958	-0.919809	-2.232761	-1.189585	-3.930409	-1.864213	-2.553182	-1.681539	-1.662847	-1.436921	-0.9477999	-0.3252254	-1.08848	-1.109274	-2.243311	-2.288582	-2.359653	-2.624927	2.552703	8.112447	-1.855972	246.4746	270.9486	0	0	302.7747	275.3706	381.981	277.9153	0	0	434.532	277.5801	343.9675	347.2097	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	175	186	310	310	-5.375009	0	-0.5359458	0	-3.276833	0	-1.357601	0	-1.559095	0	-2.87002	0	-2.135309	0	0.1821366	0	-0.02604404	0	1.295007	0	-5.375009	0	-0.5359458	0	-1.31138	-1.508852	-0.5861486	-0.8901007	-2.265966	-1.189044	-3.956458	-1.841509	-2.508619	-1.66283	-1.595104	-1.353818	-0.9535306	-0.2809228	-1.060159	-1.009203	-2.25059	-2.26216	-2.290071	-2.660762	2.733629	8.183229	-1.882309	246.5511	270.9745	0	0	302.6028	275.3852	382.0241	277.788	0	0	434.7257	277.4943	343.6736	347.752	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	176	186	309	309	-5.283495	0	-0.7710708	0	-3.390622	0	-1.254111	0	-1.451318	0	-3.028229	0	-2.247772	0	0.07902874	0	-0.118912	0	1.411404	0	-5.283495	0	-0.7710708	0	-1.356027	-1.556139	-0.5874184	-0.9417462	-2.325991	-1.289035	-4.051825	-1.895193	-2.527829	-1.636169	-1.727935	-1.501086	-0.9820678	-0.2623388	-1.118107	-1.188014	-2.20044	-2.242992	-2.185199	-2.588842	2.736628	8.131654	-1.86472	246.4209	270.9862	0	0	303.2545	275.4482	380.8837	276.9432	0	0	434.6364	277.5434	344.0239	347.1209	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	177	186	308	308	-5.389871	0	-0.7944989	0	-3.428402	0	-1.265679	0	-1.433935	0	-3.116298	0	-2.353715	0	0.1074799	0	-0.08633827	0	1.432117	0	-5.389871	0	-0.7944989	0	-1.351109	-1.584217	-0.5368147	-0.9443327	-2.339352	-1.287422	-4.047698	-1.996884	-2.587587	-1.662557	-1.847189	-1.598621	-0.9229558	-0.306315	-1.150404	-1.330835	-2.164933	-2.223157	-2.191325	-2.602593	2.632143	8.333331	-1.643674	248.1637	270.3105	0	0	302.7067	274.3173	380.1558	277.5323	0	0	435.2869	277.884	344.6808	347.1428	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	176	186	308	308	-5.342583	0	-0.7956697	0	-3.312173	0	-1.210647	0	-1.445786	0	-3.064284	0	-2.365129	0	0.03616641	0	-0.1588971	0	1.482682	0	-5.342583	0	-0.7956697	0	-1.368842	-1.561428	-0.5938593	-0.8912191	-2.33419	-1.321816	-4.060441	-1.919541	-2.576043	-1.671939	-1.837922	-1.602363	-1.025102	-0.2918527	-1.182795	-1.312792	-2.178643	-2.255106	-2.235273	-2.657344	2.774833	8.332976	-1.648269	247.843	270.6483	0	0	302.2512	275.4928	380.1433	277.5609	0	0	435.2455	277.7466	343.6382	347.0594	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	176	187	308	308	-5.319526	0	-0.7517492	0	-3.198479	0	-1.167974	0	-1.435252	0	-3.043593	0	-2.376981	0	-0.02916122	0	-0.1685836	0	1.494826	0	-5.319526	0	-0.7517492	0	-1.353142	-1.514403	-0.6903497	-0.8404984	-2.365887	-1.366153	-4.128027	-1.908198	-2.539754	-1.63929	-1.781877	-1.564549	-1.086384	-0.2703708	-1.208933	-1.266154	-2.228846	-2.280772	-2.233402	-2.75228	2.052734	8.278671	-1.540924	247.4252	270.6326	0	0	303.4495	275.9707	380.9203	277.8846	0	0	434.5159	277.9529	343.1899	347.9196	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	177	187	306	306	-5.22605	0	-0.929244	0	-3.259148	0	-1.047245	0	-1.250544	0	-3.189897	0	-2.362055	0	-0.07430332	0	-0.2245185	0	1.557905	0	-5.22605	0	-0.929244	0	-1.399279	-1.554035	-0.5760469	-0.9038833	-2.473817	-1.459427	-4.113367	-1.990602	-2.593239	-1.654813	-1.940135	-1.684451	-0.9737053	-0.2915131	-1.202532	-1.513302	-2.103491	-2.182605	-2.016412	-2.456963	2.587166	8.356997	-1.585069	247.4188	271.2864	0	0	302.1846	275.3793	380.7783	277.7529	0	0	434.4913	277.6306	344.2808	345.0197	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	178	187	306	306	-5.208925	0	-0.8436944	0	-3.136999	0	-1.084755	0	-1.295769	0	-3.017637	0	-2.471168	0	-0.1466668	0	-0.2504199	0	1.54531	0	-5.208925	0	-0.8436944	0	-1.395461	-1.521663	-0.6600599	-0.813605	-2.344649	-1.399603	-4.034767	-1.892192	-2.563044	-1.658967	-1.9005	-1.634887	-1.04788	-0.2840028	-1.25534	-1.477419	-2.140446	-2.222675	-2.140503	-2.569533	2.191229	8.293399	-1.597574	248.3139	270.9932	0	0	303.5491	275.1378	380.7719	277.861	0	0	434.574	278.0833	343.9241	347.2213	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	178	187	306	306	-5.073295	0	-0.9201154	0	-3.173125	0	-0.9193512	0	-1.217688	0	-3.108369	0	-2.349732	0	-0.1483018	0	-0.2497227	0	1.528027	0	-5.073295	0	-0.9193512	0	-1.406833	-1.523201	-0.6007534	-0.8618193	-2.452781	-1.483153	-4.104134	-1.944423	-2.512623	-1.591307	-1.912039	-1.664811	-1.020771	-0.2309379	-1.197229	-1.491041	-2.078676	-2.135719	-1.949219	-2.380089	2.825606	8.204645	-1.579139	248.309	271.1691	0	0	302.8111	275.6894	379.9545	276.58	0	0	434.41	277.6464	344.4025	346.9851	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	480	480			10	480	1	177	186	307	307	-5.400407	0	-0.7694769	0	-3.328933	0	-1.243961	0	-1.421923	0	-3.017701	0	-2.430161	0	0.01795249	0	-0.17114	0	1.476595	0	-5.400407	0	-0.7694769	0	-1.407048	-1.629303	-0.5594894	-0.8581544	-2.320874	-1.307897	-3.953718	-1.896765	-2.651798	-1.762653	-1.887312	-1.623081	-0.9799465	-0.2829512	-1.247431	-1.466118	-2.110682	-2.260879	-2.27757	-2.634438	2.573881	8.241338	-1.468217	248.0433	269.7738	0	0	303.0896	274.5012	379.1366	277.0533	0	0	434.8046	278.577	344.575	347.8849	0	0						
AFDES	20160317	North Europ M08joyface Forward-11	0	MALE	test	TestImage	Emotient FACET	520	520			11	520	1	175	185	310	310	-5.639025	0	-0.4930423	0	-3.484251	0	-1.493004	0	-1.630951	0	-2.926672	0	-2.280197	0	0.3791625	0	0.03739353	0	1.297398	0	-5.639025	0	-0.4930423	0	-1.329612	-1.592785	-0.4191387	-0.8968675	-2.145799	-1.031701	-3.74122	-1.920583	-2.638947	-1.814529	-1.778101	-1.499634	-0.6871797	-0.4544235	-1.030825	-1.190663	-2.155264	-2.297387	-2.510899	-2.591587	3.416657	8.091415	-1.909474	245.9729	269.6088	0	0	303.1286	274.4597	379.7117	277.1989	0	0	435.314	278.3543	344.663	346.9532	0	0						
