#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:21.493 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	211	179	300	300	-3.998034	0	-3.57562	0	-1.515534	0	-0.6076844	0	-0.9899628	0	-3.055776	0	-1.163793	0	-2.243104	0	-2.96697	0	2.340422	0	-3.998034	0	-0.6076844	0	-0.2869719	-0.5758525	-0.706194	-1.080425	-1.902304	-1.415157	-4.700171	-1.675059	-2.174463	-2.166785	-1.332821	-1.703174	-0.6901157	-0.7133586	-1.101977	-2.158949	-0.8121885	-1.162202	-3.632786	-2.006336	-4.046652	5.989912	1.619203	278.0787	262.3632	0	0	332.6373	266.8392	407.6006	265.5733	0	0	457.8196	263.6637	374.9285	339.9634	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	209	178	301	301	-3.889193	0	-3.516985	0	-1.578933	0	-0.5927644	0	-1.02921	0	-2.945727	0	-1.022598	0	-2.209886	0	-2.996559	0	2.287441	0	-3.889193	0	-0.5927644	0	-0.2125545	-0.4783169	-0.6278103	-1.150691	-1.906594	-1.354923	-4.617002	-1.731768	-2.081692	-2.054548	-1.228409	-1.52535	-0.3698688	-0.6291042	-1.026403	-1.943658	-0.7539412	-1.065873	-3.43342	-1.945329	-4.102418	6.10092	1.651801	277.2693	261.2974	0	0	332.7004	266.9153	407.7076	265.6033	0	0	457.7844	263.6655	373.8124	340.1381	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	209	178	302	302	-3.871112	0	-3.445992	0	-1.589749	0	-0.6867073	0	-1.010851	0	-2.919161	0	-1.058615	0	-2.106359	0	-2.927524	0	2.301951	0	-3.871112	0	-0.6867073	0	-0.2656275	-0.4765592	-0.6186843	-1.224325	-1.903081	-1.358032	-4.497853	-1.739471	-2.048801	-2.09818	-1.244906	-1.549271	-0.3332382	-0.6734186	-0.9617612	-1.911297	-0.7538472	-1.037194	-3.423626	-1.808396	-4.283592	6.117174	1.598515	277.0748	261.0032	0	0	332.5009	266.9017	407.7169	265.4507	0	0	457.9546	263.216	373.8338	339.3768	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	210	179	301	301	-4.054634	0	-3.441492	0	-1.443625	0	-0.4893238	0	-1.107418	0	-2.941009	0	-1.06751	0	-2.101508	0	-2.924412	0	2.278107	0	-4.054634	0	-0.4893238	0	-0.2058401	-0.446735	-0.576441	-1.079061	-1.798027	-1.330822	-4.543498	-1.655782	-2.142073	-2.152295	-1.285422	-1.662088	-0.5543711	-0.6871403	-1.030032	-2.125402	-0.7574121	-1.117564	-3.584498	-1.656056	-4.469201	6.058394	1.603154	277.1105	262.5399	0	0	332.5329	267.5694	407.6629	265.5476	0	0	457.9058	263.1574	373.9464	339.598	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	209	178	304	304	-4.170269	0	-3.431638	0	-1.303843	0	-0.5394238	0	-1.481127	0	-2.735753	0	-0.9427246	0	-2.059538	0	-3.126226	0	2.19392	0	-4.170269	0	-0.5394238	0	-0.06754433	-0.2567833	-0.4698406	-1.084556	-1.624369	-1.152771	-4.447533	-1.692708	-2.161051	-2.168333	-1.130379	-1.449116	-0.3127388	-0.6744606	-1.086877	-2.005884	-0.6832751	-1.058607	-3.73483	-1.620398	-4.184727	6.131352	1.541384	276.5375	263.1377	0	0	332.4693	266.9591	407.5899	265.531	0	0	459.2179	262.9643	373.8597	340.5023	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	209	178	303	303	-4.095327	0	-3.305977	0	-1.283192	0	-0.4413552	0	-1.351736	0	-2.772245	0	-1.088758	0	-2.031371	0	-2.982481	0	2.165712	0	-4.095327	0	-0.4413552	0	-0.1531385	-0.3407585	-0.5519736	-0.96679	-1.600916	-1.110453	-4.439815	-1.687775	-2.180054	-2.208242	-1.215109	-1.56174	-0.4947545	-0.6876745	-1.10326	-2.077981	-0.7788075	-1.161801	-3.737118	-1.378752	-4.151873	6.096115	1.614336	277.1156	263.3075	0	0	332.5233	266.8358	407.5778	265.5081	0	0	458.9014	262.6327	374.4222	340.2829	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	210	178	302	302	-4.025092	0	-3.4524	0	-1.512619	0	-0.6299853	0	-1.163964	0	-2.913887	0	-1.090782	0	-2.072994	0	-2.922374	0	2.262765	0	-4.025092	0	-0.6299853	0	-0.2750659	-0.4935797	-0.6291582	-1.085365	-1.758116	-1.249582	-4.540046	-1.692321	-2.170638	-2.19381	-1.248936	-1.638855	-0.5844507	-0.7161398	-1.068905	-2.111131	-0.7722082	-1.131703	-3.66445	-1.650022	-4.267247	6.108229	1.570295	277.9586	262.9288	0	0	332.5016	266.6674	407.4821	265.4923	0	0	459.7952	262.851	374.4579	338.6959	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	210	178	302	302	-4.246243	0	-3.26947	0	-1.406371	0	-0.4193689	0	-1.307421	0	-2.87898	0	-1.105672	0	-1.981806	0	-2.897161	0	2.178989	0	-4.246243	0	-0.4193689	0	-0.2324648	-0.422425	-0.559797	-1.005067	-1.67092	-1.163914	-4.420253	-1.709787	-2.226015	-2.271009	-1.222506	-1.673221	-0.5534875	-0.6811599	-1.082995	-2.142042	-0.743414	-1.147185	-3.77793	-1.419428	-4.437764	6.163256	1.599584	277.4453	263.1987	0	0	332.5509	266.7674	407.3766	265.5151	0	0	458.9666	262.2119	373.8504	339.1274	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	210	178	302	302	-4.008563	0	-3.370449	0	-1.485252	0	-0.5182955	0	-1.163158	0	-2.885733	0	-1.048703	0	-2.028734	0	-2.882527	0	2.223234	0	-4.008563	0	-0.5182955	0	-0.2456528	-0.4496236	-0.5909813	-1.06887	-1.744887	-1.230981	-4.493685	-1.687822	-2.14128	-2.208512	-1.222839	-1.633702	-0.5196536	-0.691748	-1.080215	-2.064812	-0.7818418	-1.149237	-3.631419	-1.625164	-4.306807	6.15738	1.629111	277.4821	262.446	0	0	332.4906	266.8125	407.3974	265.6235	0	0	459.1563	262.6964	374.5715	338.9271	0	0						
AFDES	20160317	North Europ M11fearface Forward-12	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	210	179	302	302	-4.013944	0	-3.532119	0	-1.409459	0	-0.4754909	0	-1.315774	0	-2.890563	0	-0.9984944	0	-2.186255	0	-3.11741	0	2.200208	0	-4.013944	0	-0.4754909	0	-0.1351683	-0.4101716	-0.5574118	-0.9621037	-1.722614	-1.21556	-4.627723	-1.670635	-2.173944	-2.15526	-1.173714	-1.543759	-0.5024122	-0.626209	-1.168056	-2.097384	-0.7639258	-1.157104	-3.639246	-1.721398	-3.863445	6.46255	1.560485	277.6667	262.8734	0	0	332.4933	267.7458	408.2803	265.9232	0	0	459.6026	263.4915	373.6187	339.4083	0	0						
